"name","lat","lon"
"0","55.896897","37.666948"
"1","55.909591","37.777486"
"2","55.912696","37.672092"
"3","55.925992","37.73016"
"4","55.920342","37.710095"
"5","55.891649","37.7466"
"6","55.909832","37.735929"
"7","55.914608","37.781389"
"8","55.915361","37.769044"
"9","55.882322","37.730064"
"10","55.924076","37.711596"
"11","55.93308","37.804903"
